std,mean,threshold,BER
0.1,0,0.05,0.01763127635109237
0.1,0.1,0.05,0.0028229058647309597
0.1,0.2,0.05,0.0031314623338257017
0.1,0.3,0.05,0.03724448550640952
0.1,0.4,0.05,0.22738534050395795
0.2,0,0.05,0.10560742106202058
0.2,0.1,0.05,0.0553992766519318
0.2,0.2,0.05,0.06702412868632708
0.2,0.3,0.05,0.12855201748685532
0.2,0.4,0.05,0.24487045997427573
0.3,0,0.05,0.19622445445098718
0.3,0.1,0.05,0.16545081500056993
0.3,0.2,0.05,0.12752465946453734
0.3,0.3,0.05,0.207035236208656
0.3,0.4,0.05,0.27613879106287165
0.4,0,0.05,0.2625340760933981
0.4,0.1,0.05,0.24148856500950516
0.4,0.2,0.05,0.2524068647969862
0.4,0.3,0.05,0.27600337471375197
0.4,0.4,0.05,0.29981938591210117
0.5,0,0.05,0.31923192319231924
0.5,0.1,0.05,0.29843956929809407
0.5,0.2,0.05,0.3173525668222317
0.5,0.3,0.05,0.31603633556967287
0.5,0.4,0.05,0.33153184565318455
0.1,0,0.1,0.027884246837868915
0.1,0.1,0.1,0.005415370434381841
0.1,0.2,0.1,0.009335302806499262
0.1,0.3,0.1,0.06652038341609885
0.1,0.4,0.1,0.28714725965315124
0.2,0,0.1,0.13111732175774513
0.2,0.1,0.1,0.07319593547275963
0.2,0.2,0.1,0.09395293416741138
0.2,0.3,0.1,0.16252141549004548
0.2,0.4,0.1,0.2832731058982054
0.3,0,0.1,0.2263595427779702
0.3,0.1,0.1,0.19474524108058816
0.3,0.2,0.1,0.16345702207609206
0.3,0.3,0.1,0.2422114172519359
0.3,0.4,0.1,0.3095086888747763
0.4,0,0.1,0.29192841057247837
0.4,0.1,0.1,0.26948556944524454
0.4,0.2,0.1,0.28099025294504576
0.4,0.3,0.1,0.3034831866939858
0.4,0.4,0.1,0.3291992775436484
0.5,0,0.1,0.3432343234323432
0.5,0.1,0.1,0.3216444981862152
0.5,0.2,0.1,0.3425056064003879
0.5,0.3,0.1,0.3418630885234222
0.5,0.4,0.1,0.350883310088331
0.1,0,0.15,0.0387121502491376
0.1,0.1,0.15,0.0075469524138725656
0.1,0.2,0.15,0.01689807976366322
0.1,0.3,0.15,0.09181198752742811
0.1,0.4,0.15,0.32201341470783734
0.2,0,0.15,0.14634001308200037
0.2,0.1,0.15,0.08789253114415294
0.2,0.2,0.15,0.11027703306523681
0.2,0.3,0.15,0.1878655402611213
0.2,0.4,0.15,0.30691492619587185
0.3,0,0.15,0.24541046068583305
0.3,0.1,0.15,0.21640259888293628
0.3,0.2,0.15,0.1874706434945984
0.3,0.3,0.15,0.26670268323428775
0.3,0.4,0.15,0.3295421742393626
0.4,0,0.15,0.30810714709019793
0.4,0.1,0.15,0.28768938302897634
0.4,0.2,0.15,0.29791305387789274
0.4,0.3,0.15,0.3210799084006267
0.4,0.4,0.15,0.34563515954244434
0.5,0,0.15,0.3575157515751575
0.5,0.1,0.15,0.3365002591121092
0.5,0.2,0.15,0.35590035759743016
0.5,0.3,0.15,0.35516238199845634
0.5,0.4,0.15,0.36302882380288237
