Time;Channel B;Channel D
(ms);(V);(V)

-5,00000780;2,00079966;1,16387796
-4,99990380;2,04432201;1,16387796
-4,99979980;2,00079966;1,16387796
-4,99969580;2,00079966;1,16387796
-4,99959180;2,00079966;1,18128693
-4,99948780;2,04432201;1,14653051
-4,99938380;2,00079966;1,16387796
-4,99927980;2,00079966;1,18128693
-4,99917580;2,00079966;1,16387796
-4,99907180;2,00079966;1,14653051
-4,99896780;2,00079966;1,16387796
-4,99886380;2,00079966;1,18128693
-4,99875980;2,00079966;1,16387796
-4,99865580;2,00079966;1,16387796
-4,99855180;2,00079966;1,16387796
-4,99844780;2,00079966;1,16387796
-4,99834380;2,00079966;1,16387796
-4,99823980;2,00079966;1,18128693
-4,99813580;1,95727730;1,14653051
-4,99803180;2,04432201;1,18128693
-4,99792780;2,00079966;1,16387796
-4,99782380;2,00079966;1,18128693
-4,99771980;2,00079966;1,16387796
-4,99761580;2,00079966;1,18128693
-4,99751180;2,00079966;1,16387796
-4,99740780;2,04432201;1,18128693
-4,99730380;2,00079966;1,18128693
-4,99719980;2,00079966;1,18128693
-4,99709580;2,00079966;1,19863439
-4,99699180;2,00079966;1,18128693
-4,99688780;2,00079966;1,19863439
-4,99678380;2,00079966;1,18128693
-4,99667980;2,00079966;1,18128693
-4,99657580;2,04432201;1,19863439
-4,99647180;2,00079966;1,18128693
-4,99636780;2,00079966;1,18128693
-4,99626380;2,00079966;1,18128693
-4,99615980;2,00079966;1,19863439
-4,99605580;2,00079966;1,19863439
-4,99595180;2,00079966;1,19863439
-4,99584780;2,00079966;1,21598184
-4,99574380;2,00079966;1,21598184
-4,99563980;2,00079966;1,19863439
-4,99553580;2,00079966;1,19863439
-4,99543180;2,00079966;1,19863439
-4,99532780;2,00079966;1,19863439
-4,99522380;2,00079966;1,21598184
-4,99511980;2,00079966;1,21598184
-4,99501580;2,00079966;1,19863439
-4,99491180;2,00079966;1,19863439
-4,99480780;2,00079966;1,21598184
-4,99470380;2,00079966;1,21598184
-4,99459980;2,00079966;1,19863439
-4,99449580;2,04432201;1,18128693
-4,99439180;2,00079966;1,21598184
-4,99428780;2,04432201;1,19863439
-4,99418380;2,04432201;1,21598184
-4,99407980;2,00079966;1,21598184
-4,99397580;2,00079966;1,21598184
-4,99387180;2,00079966;1,21598184
-4,99376780;2,00079966;1,18128693
-4,99366380;2,00079966;1,19863439
-4,99355980;1,95727730;1,21598184
-4,99345580;2,04432201;1,21598184
-4,99335180;2,00079966;1,19863439
-4,99324780;2,00079966;1,19863439
-4,99314380;2,00079966;1,18128693
-4,99303980;2,00079966;1,19863439
-4,99293580;2,00079966;1,21598184
-4,99283180;2,00079966;1,21598184
-4,99272780;2,00079966;1,21598184
-4,99262380;2,04432201;1,19863439
-4,99251980;2,00079966;1,21598184
-4,99241580;2,00079966;1,19863439
-4,99231180;2,00079966;1,19863439
-4,99220780;2,04432201;1,21598184
-4,99210380;2,00079966;1,18128693
-4,99199980;2,04432201;1,21598184
-4,99189580;2,00079966;1,19863439
-4,99179180;2,00079966;1,21598184
-4,99168780;2,00079966;1,19863439
-4,99158380;2,00079966;1,19863439
-4,99147980;2,00079966;1,18128693
-4,99137580;2,00079966;1,21598184
-4,99127180;2,00079966;1,19863439
-4,99116780;2,00079966;1,18128693
-4,99106380;2,00079966;1,19863439
-4,99095980;2,00079966;1,18128693
-4,99085580;2,00079966;1,19863439
-4,99075180;2,00079966;1,19863439
-4,99064780;2,00079966;1,18128693
-4,99054380;2,00079966;1,21598184
-4,99043980;2,00079966;1,19863439
-4,99033581;2,00079966;1,18128693
-4,99023181;1,95727730;1,21598184
-4,99012781;2,00079966;1,19863439
-4,99002381;2,00079966;1,19863439
-4,98991981;2,00079966;1,16387796
-4,98981581;2,00079966;1,18128693
-4,98971181;2,00079966;1,18128693
-4,98960781;2,04432201;1,19863439
-4,98950381;2,00079966;1,18128693
-4,98939981;2,00079966;1,18128693
-4,98929581;2,00079966;1,18128693
-4,98919181;2,00079966;1,16387796
-4,98908781;2,00079966;1,19863439
-4,98898381;2,00079966;1,16387796
-4,98887981;2,00079966;1,18128693
-4,98877581;2,00079966;1,18128693
-4,98867181;2,00079966;1,19863439
-4,98856781;2,00079966;1,16387796
-4,98846381;2,04432201;1,16387796
-4,98835981;2,00079966;1,18128693
-4,98825581;2,00079966;1,21598184
-4,98815181;2,00079966;1,18128693
-4,98804781;2,00079966;1,18128693
-4,98794381;2,00079966;1,18128693
-4,98783981;2,00079966;1,16387796
-4,98773581;2,04432201;1,18128693
-4,98763181;2,00079966;1,18128693
